open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2026-03-20 01:00:00,70181.0,70588.5,70181.0,70403.79,526.82154,2026-03-20 01:59:59.999,37099306.9997249,143190,329.31045,23190657.1536293,0
2026-03-20 02:00:00,70403.8,70516.16,70086.86,70415.47,312.91426,2026-03-20 02:59:59.999,21995861.2324314,109755,166.84802,11730603.9873186,0
2026-03-20 03:00:00,70415.48,70809.43,70388.0,70729.92,711.57589,2026-03-20 03:59:59.999,50275539.8980256,140086,435.33283,30760018.4686851,0
2026-03-20 04:00:00,70729.93,70969.71,70557.91,70783.69,546.53749,2026-03-20 04:59:59.999,38690338.0895582,99782,309.33071,21900147.344654,0
2026-03-20 05:00:00,70783.7,70867.44,70521.73,70606.24,367.69531,2026-03-20 05:59:59.999,25988752.0068573,64317,206.54952,14599142.0900696,0
2026-03-20 06:00:00,70606.23,70646.93,70346.49,70502.9,758.81391,2026-03-20 06:59:59.999,53499958.365418,81917,269.05386,18967937.8133292,0
2026-03-20 07:00:00,70502.91,70939.58,70160.06,70854.66,936.89906,2026-03-20 07:59:59.999,66155511.481538,108110,462.02032,32633393.3610895,0
2026-03-20 08:00:00,70854.66,71367.0,70800.0,71042.23,1011.96314,2026-03-20 08:59:59.999,71994361.9832055,155511,529.21105,37652148.1122338,0
2026-03-20 09:00:00,71042.23,71042.23,70419.65,70583.8,885.49116,2026-03-20 09:59:59.999,62625465.6597395,145152,272.20455,19240215.3407964,0
2026-03-20 10:00:00,70583.81,70670.43,70218.68,70611.68,609.11713,2026-03-20 10:59:59.999,42907563.099605,152511,244.38509,17218604.0789732,0
2026-03-20 11:00:00,70611.68,70810.81,70303.36,70478.71,605.56445,2026-03-20 11:59:59.999,42745068.2254737,117297,311.92509,22032454.8701296,0
2026-03-20 12:00:00,70478.71,70685.63,70251.0,70342.63,613.27107,2026-03-20 12:59:59.999,43204525.1355932,160744,254.20593,17911384.7212939,0
2026-03-20 13:00:00,70342.63,70613.75,69795.7,69863.84,1225.89394,2026-03-20 13:59:59.999,86023937.1145009,381953,509.54543,35757176.5220306,0
2026-03-20 14:00:00,69863.85,70268.66,69589.38,69731.21,1679.84994,2026-03-20 14:59:59.999,117344085.0041177,462646,716.40904,50067965.4789292,0
2026-03-20 15:00:00,69731.2,70002.68,69480.0,69860.09,1196.90076,2026-03-20 15:59:59.999,83493362.9269841,339941,599.75445,41849006.2054136,0
2026-03-20 16:00:00,69860.09,70100.0,69608.54,69829.26,922.25773,2026-03-20 16:59:59.999,64460463.4445135,275811,448.11597,31326017.3601415,0
2026-03-20 17:00:00,69829.27,70039.78,69388.0,70000.0,998.84797,2026-03-20 17:59:59.999,69631317.2331938,297124,513.14661,35779801.1458225,0
2026-03-20 18:00:00,69999.99,70071.81,69525.33,69770.0,630.4796,2026-03-20 18:59:59.999,44016722.1628272,260214,310.11685,21652969.7218576,0
2026-03-20 19:00:00,69770.01,70190.18,69673.76,70177.86,528.39593,2026-03-20 19:59:59.999,36948768.0069334,208941,273.63077,19136712.4874544,0
